Parcela,VOLUME,B,G,R,NIR,NDVI,OSAVI,GNDVI,MTVI2,Idade_IF (anos)
199,107.17254,62,30,24,120,0.667,0.772475027746948,0.600,0.770188796354586,9.10503
200,56.205464,60.5,28.5,23.5,94,0.600,0.695053544110148,0.535,0.728546306458765,9.108262
201,51.127529,61,28,26,94,0.567,0.656458055925433,0.541,0.673353495056189,9.10823
202,62.909984,61,30,23.5,101.5,0.624,0.722914669223394,0.544,0.755700312404245,9.108519
203,75.366023,62,31,25,101,0.603,0.698795180722892,0.530,0.73674365477311,9.108487
204,47.665481,63,32,26.5,101,0.584,0.676954410151966,0.519,0.718504574471342,9.108455
205,84.537385,60,31,24,106,0.631,0.73079287031346,0.547,0.76220056036648,9.108315
206,69.475633,62,29,23,107,0.646,0.748617086662569,0.574,0.762794953914976,9.108551
207,40.851372,60.5,30,23.5,98,0.613,0.710340292618773,0.531,0.75052686392042,9.108572
208,42.34331,62,30,24,97,0.603,0.698910531528557,0.528,0.739290632248667,9.10869
209,62.122089,63.5,32,23.5,100.5,0.621,0.719394329896907,0.517,0.773704530432743,9.108658
210,75.74189,62,31,25,106,0.618,0.716376944190302,0.547,0.744470765109535,9.106111
211,44.640727,65,31,29,92,0.521,0.603169362826015,0.496,0.638979259097982,9.106079
212,56.509673,61.5,31,24,109.5,0.640,0.742032021547209,0.559,0.766620577264923,9.106036
213,68.025372,62.5,30,23,99,0.623,0.721676489849378,0.535,0.761535670522491,9.105918
214,49.054808,63,29,22,107,0.659,0.763394239702694,0.574,0.780359199782346,9.10595
215,36.410699,61.5,29,23,103,0.635,0.735573874445149,0.561,0.757446976153745,9.105993
216,52.454554,62,29,23,106,0.643,0.745432022297925,0.570,0.761495924002987,9.105854
217,70.405171,64.5,32,27.5,105,0.585,0.677672244836424,0.533,0.707543235650623,8.102408
218,152.927649,64.5,29.5,26,118,0.639,0.740288568257492,0.600,0.731995725633694,8.10244
219,113.335721,63,29.5,23.5,106.5,0.638,0.739704978488015,0.566,0.757912165645703,8.102493
220,119.942306,62,31,25,120,0.655,0.759162303664922,0.589,0.762671402808539,8.102536
221,110.902276,63,31.5,28.5,108,0.582,0.674813405531977,0.548,0.690982884005586,8.102558
222,106.706607,62,29,25,109,0.627,0.726296958855098,0.580,0.730839463763523,8.10244
223,137.506219,64,32,28,119,0.619,0.717314487632509,0.576,0.722355323823453,8.102612
224,35.941884,66,34,32,84,0.448,0.519283746556474,0.424,0.581793774247589,8.102879
225,85.46726,63,31,26.5,99.5,0.579,0.671211160431198,0.525,0.70593851030281,8.103071
226,51.716977,62.5,29,26,91,0.556,0.643564356435643,0.517,0.676595168717579,9.108315
227,111.860476,62.5,29.5,27,96,0.561,0.649886326729458,0.530,0.673779961651951,8.102472
